ID,bgnDt,endDt,Duration,Volume,Peak,AvQ,POT
533,5/11/1965,6/20/1965,41,5122.6,686,124.9414634,5.490571194
535,6/22/1965,7/1/1965,10,220.5,39,22.05,1.768707483
537,7/4/1965,8/4/1965,32,361.1,25,11.284375,2.215452783
539,8/6/1965,8/6/1965,1,3.8,3.8,3.8,1
541,8/8/1965,8/20/1965,13,148,16,11.38461538,1.405405405
543,8/22/1965,9/15/1965,25,145.2,31,5.808,5.337465565
545,9/17/1965,9/17/1965,1,1.6,1.6,1.6,1
547,9/19/1965,11/2/1965,45,1764,185,39.2,4.719387755
549,11/4/1965,11/30/1965,27,3161.8,542,117.1037037,4.628376241
551,12/2/1965,12/31/1965,30,6119.7,940,203.99,4.608069023
553,1/2/1966,1/17/1966,16,955.5,218,59.71875,3.650444793
555,1/19/1966,2/7/1966,20,3417,514,170.85,3.008486977
557,2/9/1966,2/24/1966,16,11009,2300,688.0625,3.342719593
559,2/26/1966,3/10/1966,13,1443.6,419,111.0461538,3.773205874
561,3/12/1966,3/24/1966,13,323.4,84,24.87692308,3.376623377
563,3/27/1966,4/8/1966,13,567,215,43.61538462,4.929453263
565,4/10/1966,4/23/1966,14,4876,1820,348.2857143,5.22559475
567,4/25/1966,6/10/1966,47,24172,3210,514.2978723,6.241519113
569,6/13/1966,7/1/1966,19,1341.2,375,70.58947368,5.3124068
571,7/3/1966,7/28/1966,26,256.4,22,9.861538462,2.230889236
573,7/30/1966,8/16/1966,18,436.2,170,24.23333333,7.015130674
575,8/18/1966,9/1/1966,15,442.9,84,29.52666667,2.844885979
577,9/3/1966,10/1/1966,29,3205.5,544,110.5344828,4.921541101
579,10/3/1966,11/28/1966,57,733.47,59,12.86789474,4.585054603
581,12/5/1966,12/14/1966,10,24.74,13,2.474,5.254648343
583,12/16/1966,12/24/1966,9,89.76,45,9.973333333,4.512032086
585,12/27/1966,1/4/1967,9,9.28,2.1,1.031111111,2.036637931
587,1/9/1967,2/4/1967,27,357.91,100,13.25592593,7.543795926
589,2/6/1967,2/24/1967,19,48.13,11,2.533157895,4.342405984
591,2/26/1967,3/17/1967,20,20.78,4.4,1.039,4.234841193
593,3/20/1967,4/4/1967,16,14.88,4.7,0.93,5.053763441
595,4/6/1967,4/29/1967,24,546.04,239,22.75166667,10.50472493
597,5/1/1967,5/18/1967,18,70.84,23,3.935555556,5.844155844
599,5/20/1967,6/18/1967,30,863.5,291,28.78333333,10.11001737
601,6/20/1967,8/4/1967,46,332.18,35,7.221304348,4.846769824
603,8/6/1967,9/13/1967,39,314.72,149,8.06974359,18.46403152
605,9/15/1967,10/27/1967,43,3833.5,1110,89.15116279,12.45076301
607,10/29/1967,11/28/1967,31,150.56,26,4.856774194,5.353347503
609,11/30/1967,12/30/1967,31,519.83,84,16.76870968,5.009329973
611,1/1/1968,3/3/1968,63,12552.6,2490,199.247619,12.49701257
613,3/5/1968,4/5/1968,32,912.1,255,28.503125,8.946387458
615,4/7/1968,4/19/1968,13,151.2,47,11.63076923,4.041005291
617,4/21/1968,5/1/1968,11,42.15,16,3.831818182,4.175563464
619,5/3/1968,5/25/1968,23,29854.7,5230,1298.030435,4.029181335
621,5/27/1968,6/1/1968,6,1555,556,259.1666667,2.145337621
623,6/3/1968,6/17/1968,15,5647,1370,376.4666667,3.639100407
625,6/19/1968,8/29/1968,72,22882.6,3480,317.8138889,10.94980466
627,8/31/1968,10/4/1968,35,3828,662,109.3714286,6.05276907
629,10/6/1968,11/3/1968,29,2114.7,300,72.92068966,4.114058732
631,11/5/1968,11/25/1968,21,3938,1310,187.5238095,6.985779584
633,11/27/1968,12/11/1968,15,6250,1330,416.6666667,3.192
635,12/13/1968,12/19/1968,7,1740,587,248.5714286,2.361494253
637,12/21/1968,1/11/1969,22,1909,474,86.77272727,5.462545836
639,1/14/1969,1/29/1969,16,859,253,53.6875,4.712456345
641,1/31/1969,3/13/1969,42,24124,4300,574.3809524,7.486320677
643,3/15/1969,4/9/1969,26,5395.2,889,207.5076923,4.284178529
645,4/11/1969,4/25/1969,15,1700.1,479,113.34,4.226221987
647,4/27/1969,6/2/1969,37,7359.3,1590,198.9,7.993966817
649,6/4/1969,6/13/1969,10,317.4,119,31.74,3.74921235
651,6/15/1969,7/3/1969,19,78.2,6,4.115789474,1.457800512
653,7/5/1969,8/14/1969,41,666.6,56,16.25853659,3.444344434
655,8/16/1969,9/13/1969,29,879.8,229,30.33793103,7.548306433
657,9/15/1969,9/28/1969,14,232,47,16.57142857,2.836206897
659,9/30/1969,10/20/1969,21,222.3,28,10.58571429,2.645074224
661,10/22/1969,11/15/1969,25,190.52,32,7.6208,4.199034222
663,11/17/1969,12/3/1969,17,1322.34,457,77.78470588,5.875190949
665,12/5/1969,12/23/1969,19,1087.2,278,57.22105263,4.858351729
667,12/25/1969,12/27/1969,3,5.7,2,1.9,1.052631579
669,12/29/1969,1/30/1970,33,903.2,110,27.36969697,4.019043401
671,2/1/1970,2/22/1970,22,578,113,26.27272727,4.301038062
673,2/24/1970,4/7/1970,43,6699.6,965,155.8046512,6.193653352
675,4/9/1970,4/29/1970,21,3625.8,1100,172.6571429,6.371007778
677,5/1/1970,5/13/1970,13,769,319,59.15384615,5.392717815
679,5/15/1970,6/15/1970,32,6660.3,2320,208.134375,11.14664505
681,6/17/1970,7/10/1970,24,158.7,68,6.6125,10.28355388
683,7/12/1970,8/16/1970,36,609.5,57,16.93055556,3.366694011
685,8/18/1970,10/5/1970,49,1440,154,29.3877551,5.240277778
687,10/7/1970,11/7/1970,32,17167,2820,536.46875,5.256596959
689,11/9/1970,1/14/1971,67,1633.4,306,24.37910448,12.55173258
691,1/16/1971,1/27/1971,12,19.9,2.1,1.658333333,1.266331658
693,1/29/1971,2/23/1971,26,60.1,7.5,2.311538462,3.244592346
695,2/25/1971,3/16/1971,20,93.91,56,4.6955,11.92631243
697,3/18/1971,4/28/1971,42,326.92,89,7.783809524,11.43398997
699,5/1/1971,5/19/1971,19,1147.84,498,60.41263158,8.243309172
701,5/21/1971,6/16/1971,27,271.3,55,10.04814815,5.473645411
703,6/19/1971,7/7/1971,19,99.67,18,5.245789474,3.431323367
705,7/10/1971,7/29/1971,20,185.58,32,9.279,3.448647484
707,7/31/1971,8/27/1971,28,2489.3,612,88.90357143,6.883862933
709,8/29/1971,10/2/1971,35,1664.4,357,47.55428571,7.507209805
711,10/4/1971,10/18/1971,15,508,80,33.86666667,2.362204724
713,10/20/1971,11/14/1971,26,633.9,251,24.38076923,10.29499921
715,11/16/1971,11/16/1971,1,1.5,1.5,1.5,1
717,11/18/1971,11/30/1971,13,90.9,25,6.992307692,3.575357536
719,12/2/1971,12/26/1971,25,7894,1900,315.76,6.017228275
721,12/29/1971,1/28/1972,31,2570.8,393,82.92903226,4.738991754
723,1/30/1972,2/9/1972,11,2609,728,237.1818182,3.06937524
725,2/11/1972,3/18/1972,37,1048.1,257,28.32702703,9.072607576
727,3/20/1972,4/15/1972,27,3004.1,837,111.262963,7.522718951
729,4/17/1972,6/4/1972,49,36619,3980,747.3265306,5.325650619
731,6/7/1972,6/30/1972,24,4796,1210,199.8333333,6.055045872
733,7/2/1972,7/28/1972,27,859,81,31.81481481,2.545983702
735,7/31/1972,8/28/1972,29,515.5,61,17.77586207,3.431619787
